Wavelength,n,k
 1259, 1.736097, 0.075529
 1260, 1.736035, 0.075458
 1261, 1.735973, 0.075387
 1262, 1.735911, 0.075316
 1263, 1.73585, 0.075245
 1264,1.735788, 0.075175
 1265, 1.735727, 0.075104
 1266, 1.735666, 0.075034
 1267, 1.735605, 0.074964
 1268, 1.735544, 0.074894
 1269, 1.735483, 0.074824
 1270, 1.735422, 0.074754
 1271, 1.735362, 0.074685
 1272, 1.735302, 0.074615
 1273, 1.735242, 0.074546
 1274, 1.735182, 0.074477
 1275, 1.735122, 0.074408
 1276, 1.735062, 0.074339
 1277, 1.735003, 0.07427
 1278, 1.734943,0.074202
 1279, 1.734884, 0.074133
 1280, 1.734825, 0.074065
 1281, 1.734766, 0.073997
 1282, 1.734707, 0.073928
 1283, 1.734648, 0.073861
 1284, 1.73459, 0.073793
 1285,1.734531, 0.073725
 1286, 1.734473, 0.073657
 1287, 1.734415, 0.07359
 1288, 1.734357,0.073523
 1289, 1.734299, 0.073456
 1290, 1.734241, 0.073388
 1291, 1.734184, 0.073322
 1292, 1.734126, 0.073255
 1293, 1.734069, 0.073188
 1294, 1.734012, 0.073122
 1295, 1.733955, 0.073055
 1296, 1.733898, 0.072989
 1297, 1.733841, 0.072923
 1298, 1.733785, 0.072857
 1299, 1.733728, 0.072791
 1300, 1.733672, 0.072725
 1301, 1.733616, 0.072659
 1302, 1.73356, 0.072594
 1303,1.733504, 0.072528
 1304, 1.733448, 0.072463
 1305, 1.733392, 0.072398
 1306, 1.733337, 0.072333
 1307, 1.733281, 0.072268
 1308, 1.733226, 0.072203
 1309, 1.733171, 0.072139
 1310, 1.733116, 0.072074
 1311, 1.733061, 0.07201
 1312, 1.733006,0.071945
 1313, 1.732952, 0.071881
 1314, 1.732897, 0.071817
 1315, 1.732843, 0.071753
 1316, 1.732789, 0.071689
 1317, 1.732735, 0.071626
 1318, 1.732681, 0.071562
 1319, 1.732627, 0.071499
 1320, 1.732573, 0.071435
 1321, 1.73252, 0.071372
 1322,1.732466, 0.071309
 1323, 1.732413, 0.071246
 1324, 1.73236, 0.071183
 1325,1.732307, 0.071121
 1326, 1.732254, 0.071058
 1327, 1.732201, 0.070995
 1328, 1.732148, 0.070933
 1329, 1.732095, 0.070871
 1330, 1.732043, 0.070809
 1331, 1.731991, 0.070746
 1332, 1.731938, 0.070685
 1333, 1.731886, 0.070623
 1334, 1.731834, 0.070561
 1335, 1.731782, 0.070499
 1336, 1.731731, 0.070438
 1337, 1.731679, 0.070377
 1338, 1.731628, 0.070315
 1339, 1.731576, 0.070254
 1340, 1.731525, 0.070193
 1341, 1.731474, 0.070132
 1342, 1.731423, 0.070071
 1343, 1.731372, 0.070011
 1344, 1.731321, 0.06995
 1345, 1.73127,0.06989
 1346,1.73122,0.069829
 1347,1.731169, 0.069769
 1348, 1.731119, 0.069709
 1349, 1.731069, 0.069649
 1350, 1.731019, 0.069589
 1351, 1.730969, 0.069529
 1352, 1.730919, 0.069469
 1353, 1.730869, 0.06941
 1354, 1.73082,0.06935
 1355,1.73077,0.069291
 1356,1.730721, 0.069232
 1357, 1.730671, 0.069172
 1358, 1.730622, 0.069113
 1359, 1.730573, 0.069054
 1360, 1.730524, 0.068995
 1361, 1.730475, 0.068937
 1362, 1.730427, 0.068878
 1363, 1.730378, 0.06882
 1364, 1.730329,0.068761
 1365, 1.730281, 0.068703
 1366, 1.730233, 0.068645
 1367, 1.730185, 0.068586
 1368, 1.730136, 0.068528
 1369, 1.730088, 0.06847
 1370, 1.730041,0.068413
 1371, 1.729993, 0.068355
 1372, 1.729945, 0.068297
 1373, 1.729898, 0.06824
 1374, 1.72985,0.068182
 1375,1.729803, 0.068125
 1376, 1.729756, 0.068068
 1377, 1.729709, 0.068011
 1378, 1.729662, 0.067954
 1379, 1.729615, 0.067897
 1380, 1.729568, 0.06784
 1381, 1.729521,0.067783
 1382, 1.729475, 0.067727
 1383, 1.729428, 0.06767
 1384, 1.729382,0.067614
 1385, 1.729336, 0.067558
 1386, 1.729289, 0.067501
 1387, 1.729243, 0.067445
 1388, 1.729197, 0.067389
 1389, 1.729151, 0.067333
 1390, 1.729106, 0.067278
 1391, 1.72906, 0.067222
 1392,1.729015, 0.067166
 1393, 1.728969, 0.067111
 1394, 1.728924, 0.067055
 1395, 1.728878, 0.067
 1396, 1.728833,0.066945
 1397, 1.728788, 0.06689
 1398, 1.728743,0.066834
 1399, 1.728698, 0.06678
 1400, 1.728654,0.066725
 1401, 1.728609, 0.06667
 1402, 1.728565,0.066615
 1403, 1.72852, 0.066561
 1404,1.728476, 0.066506
 1405, 1.728431, 0.066452
 1406, 1.728387, 0.066397
 1407, 1.728343, 0.066343
 1408, 1.728299, 0.066289
 1409, 1.728255, 0.066235
 1410, 1.728212, 0.066181
 1411, 1.728168, 0.066127
 1412, 1.728124, 0.066074
 1413, 1.728081, 0.06602
 1414, 1.728037,0.065966
 1415, 1.727994, 0.065913
 1416, 1.727951, 0.06586
 1417, 1.727908,0.065806
 1418, 1.727865, 0.065753
 1419, 1.727822, 0.0657
 1420, 1.727779, 0.065647
 1421, 1.727736, 0.065594
 1422, 1.727694, 0.065541
 1423, 1.727651, 0.065489
 1424, 1.727609, 0.065436
 1425, 1.727566, 0.065383
 1426, 1.727524, 0.065331
 1427, 1.727482, 0.065279
 1428, 1.72744, 0.065226
 1429,1.727398, 0.065174
 1430, 1.727356, 0.065122
 1431, 1.727314, 0.06507
 1432, 1.727272,0.065018
 1433, 1.727231, 0.064966
 1434, 1.727189, 0.064914
 1435, 1.727148, 0.064863
 1436, 1.727106, 0.064811
 1437, 1.727065, 0.064759
 1438, 1.727024, 0.064708
 1439, 1.726983, 0.064657
 1440, 1.726942, 0.064605
 1441, 1.726901, 0.064554
 1442, 1.72686, 0.064503
 1443,1.726819, 0.064452
 1444, 1.726779, 0.064401
 1445, 1.726738, 0.06435
 1446, 1.726697,0.0643
 1447, 1.726657, 0.064249
 1448, 1.726617, 0.064198
 1449, 1.726576, 0.064148
 1450, 1.726536, 0.064097
 1451, 1.726496, 0.064047
 1452, 1.726456, 0.063997
 1453, 1.726416, 0.063947
 1454, 1.726377, 0.063897
 1455, 1.726337, 0.063847
 1456, 1.726297, 0.063797
 1457, 1.726258, 0.063747
 1458, 1.726218, 0.063697
 1459, 1.726179, 0.063647
 1460, 1.726139, 0.063598
 1461, 1.7261, 0.063548
 1462, 1.726061, 0.063499
 1463, 1.726022, 0.06345
 1464, 1.725983,0.0634
 1465, 1.725944, 0.063351
 1466, 1.725905, 0.063302
 1467, 1.725867, 0.063253
 1468, 1.725828, 0.063204
 1469, 1.725789, 0.063155
