Wavelength,n,k
889 ,1.716373 , 0.032330667
890 , 1.716272667,0.032356 
891 ,1.716173 , 0.032381333
892 ,1.716074 ,0.032407 
893 ,1.715974 , 0.032432667
894 ,1.715875 ,0.032458 
895 , 1.715776667,0.032484 
896 ,1.715678 ,0.032509 
897 ,1.715580 ,0.032535 
898 ,1.715482 , 0.032560667
899 ,1.715385 ,0.032586 
900 , 1.715287667,0.032612 
901 ,1.715190 ,0.032638 
902 ,1.715094 , 0.032664
903 ,1.714997 , 0.032689667
904 ,1.714901 ,0.032716 
905 , 1.714805667,0.032742 
906 ,1.714710 ,0.032767 
907 ,1.714615 ,0.032793 
908 ,1.714520 ,0.032819 
909 ,1.714425 ,0.032846 
910 , 1.714330667,0.032872 
911 ,1.714236 , 0.032898
912 ,1.714142 , 0.032923667
913 ,1.714049 ,0.032950 
914 ,1.713955 ,0.032976 
915 ,1.713862 ,0.033003 
916 ,1.713769 ,0.033029 
917 ,1.713677 ,0.033055 
918 , 1.713584667,0.033082 
919 ,1.713492 ,0.033108 
920 ,1.713401 , 0.033134333
921 ,1.713309 ,0.033161 
922 ,1.713217 ,0.033187 
923 ,1.713127 , 0.033213667
924 ,1.713036 ,0.033240 
925 ,1.712945 ,0.033267 
926 ,1.712855 ,0.033293 
927 , 1.712764667,0.033320 
928 ,1.712675 ,0.033346 
929 , 1.712585667,0.033373 
930 ,1.712496 ,0.033400 
931 ,1.712407 ,0.033426 
932 , 1.712317667,0.033453 
933 ,1.712229 ,0.033480 
934 ,1.712141 ,0.033507 
935 , 1.712052667,0.033534 
936 ,1.711965 ,0.033561 
937 ,1.711877 ,0.033587 
938 , 1.711789667,0.033614 
939 ,1.711702 ,0.033641 
940 ,1.711616 ,0.033668 
941 ,1.711529 , 0.033695
942 ,1.711442 , 0.033722
943 ,1.711356 , 0.033749
944 , 1.711269667, 0.033776333
945 ,1.711184 ,0.033803 
946 , 1.711098333, 0.033830333
947 ,1.711013 ,0.033857 
948 , 1.710927667,0.033885 
949 ,1.710842 ,0.033912 
950 ,1.710758 ,0.033939 
951 ,1.710673 , 0.033966333
952 ,1.710589 ,0.033993 
953 , 1.710504667,0.034021 
954 ,1.710421 ,0.034048 
955 ,1.710337 , 0.034075333
956 , 1.710253333,0.034103 
957 ,1.710170 ,0.034130 
958 ,1.710087 ,0.034157 
959 ,1.710004 ,0.034185 
960 ,1.709922 ,0.034212 
961 ,1.709839 , 0.034239667
962 ,1.709757 ,0.034268 
963 ,1.709675 ,0.034295 
964 , 1.709592667, 0.034322333
965 ,1.709511 ,0.034350 
966 ,1.709430 ,0.034377 
967 ,1.709349 ,0.034405 
968 ,1.709267 ,0.034433 
969 ,1.709187 , 0.034460333
970 ,1.709106 ,0.034488 
971 ,1.709025 , 0.034515667
972 , 1.708944667,0.034544 
973 ,1.708864 ,0.034571 
974 ,1.708785 , 0.034599
975 , 1.708705, 0.034627
976 , 1.708625667, 0.034654667
977 ,1.708546 ,0.034682 
978 ,1.708467 ,0.034710 
979 , 1.708387667,0.034738 
980 ,1.708309 , 0.034766333
981 ,1.708231 ,0.034794 
982 ,1.708152 ,0.034822 
983 ,1.708074 , 0.034849667
984 , 1.707995667,0.034878 
985 ,1.707918 , 0.034905667
986 , 1.70784,0.034934 
987 ,1.707763 ,0.034962 
988 ,1.707685 ,0.034990 
989 ,1.707608 ,0.035018 
990 , 1.707531, 0.035046
991 , 1.707453667, 0.035074333
992 ,1.707377 ,0.035103 
993 ,1.707301 ,0.035130 
994 ,1.707224 ,0.035159 
995 ,1.707148 ,0.035187 
996 , 1.707072333, 0.035215333
997 ,1.706996 ,0.035244 
998 ,1.706921 ,0.035272 
999 ,1.706845 ,0.035300 
