Wavelength,n,k
531, 1.749011,0.002453
532, 1.748492, 0.002467
533, 1.747979, 0.002482
534, 1.7474715, 0.0024965
535,1.746969,0.002511
536, 1.7464715, 0.002526
537,1.7459785, 0.0025405
538,1.7454915,0.002556
539,1.7450085, 0.002571
540,1.74453, 0.0025855
541,1.744057,0.0026005
542, 1.7435875,0.0026155
543,1.743123,0.002631
544, 1.7426635, 0.002646
545,1.7422075, 0.0026615
546,1.741756,0.0026765
547, 1.7413085,0.002692
548,1.7408645, 0.002707
549,1.7404255, 0.002723
550,1.7399895, 0.002738
551,1.7395585, 0.002754
552,1.7391305, 0.0027695
553,1.738706,0.0027855
554, 1.738285,0.002801
555, 1.7378685, 0.0028165
556,1.737455,0.0028325
557, 1.737045,0.0028485
558, 1.7366385,0.002864
559,1.736235, 0.00288
560, 1.735835,0.0028965
561, 1.7354385,0.002913
562,1.735045, 0.002929
563, 1.7346545, 0.002945
564,1.7342675, 0.002961
565,1.733883, 0.002978
566, 1.733502, 0.002994
567, 1.7331235, 0.003011
568,1.732748, 0.003027
569, 1.732376, 0.003044
570, 1.732006, 0.00306
571, 1.731639,0.003077
572, 1.731275, 0.003094
573, 1.7309135, 0.0031105
574,1.7305545,0.0031275
575,1.7301985,0.0031445
576,1.729845,0.0031615
577, 1.729494,0.0031785
578, 1.7291455,0.003196
579,1.7287995, 0.003213
580,1.728456, 0.00323
581, 1.7281145,0.0032475
582,1.727776,0.0032645
583, 1.7274395,0.003282
584,1.7271055, 0.0032995
585,1.726773,0.003317
586, 1.7264435, 0.0033345
587,1.726116,0.003352
588, 1.725791, 0.00337
589, 1.725468,0.0033875
590, 1.725147,0.0034055
591, 1.7248285,0.0034235
592,1.7245115,0.0034415
593,1.7241965,0.0034595
594,1.7238845,0.0034775
595,1.723573,0.0034955
596, 1.7232645,0.0035135
597,1.7229575,0.003532
598,1.722653, 0.0035505
599, 1.72235,0.0035685
600,1.722049,0.003587
601, 1.7217495, 0.0036055
602,1.7214525,0.003624
603,1.7211565, 0.003643
604,1.720863, 0.0036615
605, 1.720571,0.00368
606, 1.7202805,0.0036995
607,1.719992,0.003718
608, 1.719705, 0.0037365
609, 1.7194195,0.003756
610,1.7191365, 0.0037745
611,1.7188545,0.003794
612,1.718574, 0.0038135
613, 1.7182955,0.003832
614,1.718018, 0.0038515
615, 1.7177425,0.003871
616,1.7174685, 0.0038905
617,1.717196,0.00391
618, 1.716925,0.0039295
619, 1.7166555,0.0039495
620,1.7163875,0.003969
621,1.7161205, 0.0039885
622,1.7158555,0.0040085
623,1.715592,0.004028
624, 1.7153295, 0.0040485
625,1.715069,0.004068
626, 1.714809, 0.004088
627, 1.714551, 0.0041085
628, 1.714294,0.0041285
629, 1.714039,0.004149
630, 1.7137845, 0.004169
631,1.7135315, 0.0041895
632,1.7132805,0.00421
633,1.71303,0.0042305
634,1.712781,0.004251
635, 1.712533, 0.0042715
636, 1.712287,0.0042925
637, 1.7120415,0.004313
638,1.7117975, 0.004334
639,1.7115545, 0.004355
640,1.7113125, 0.004376
641,1.711072, 0.004397
642, 1.710833, 0.0044185
643, 1.7105945,0.0044395
644,1.7103575,0.0044605
645,1.7101215,0.004482
646,1.709886, 0.004503
647, 1.709653, 0.004525
648, 1.70942, 0.004546
649,1.7091885, 0.004568
650,1.708958, 0.004589
651, 1.708728, 0.004611
652, 1.7085, 0.004633
653, 1.7082725, 0.0046545
654,1.708046,0.0046765
655, 1.7078205,0.0046985
656,1.707596,0.0047205
657, 1.707373,0.004743
658, 1.7071505, 0.004765
659,1.706929, 0.004787
660, 1.706709, 0.0048095
661, 1.706489,0.004832
662, 1.7062705, 0.0048545
663,1.706053,0.0048765
664, 1.7058365,0.0048995
665,1.7056205,0.004922
666,1.7054055, 0.004945
667,1.7051915, 0.0049675
668,1.7049785,0.0049905
669,1.7047665,0.0050135
670,1.704555,0.0050365
671, 1.7043445,0.005059
672,1.7041355, 0.0050825
673,1.7039265,0.0051055
674,1.703718,0.005129
675, 1.7035115, 0.005152
676,1.703305, 0.0051755
677, 1.7030995,0.0051995
678,1.702895,0.005223
679, 1.702691, 0.0052465
680, 1.702488,0.0052705
681, 1.702286,0.005294
682, 1.7020845, 0.0053175
683,1.701884,0.0053415
684, 1.701684,0.005366
685, 1.701485, 0.0053895
686, 1.7012865,0.005414
