Wavelength,n,k
883, 1.694961333,0.035854
884,1.694862333, 0.035947667
885,1.694763667,0.036042
886,1.694665667, 0.036136
887,1.694567667, 0.03623
888,1.694470333,0.036324333
889,1.694373667,0.036418333
890,1.694277,0.036512667
891, 1.694181,0.036607
892, 1.694085, 0.036701333
893, 1.693989333,0.036796
894,1.693895, 0.036890333
895, 1.693800667,0.036985333
896,1.693706333,0.03708
897,1.693612667,0.037174667
898,1.693519667,0.037269667
899,1.693426667,0.037364333
900,1.693334,0.037459667
901, 1.693242,0.037555
902, 1.693150667, 0.03765
903,1.693059,0.037745333
904, 1.692968333,0.037840333
905,1.692877667,0.037936
906,1.692788, 0.038031
907, 1.692698, 0.038127
908, 1.692609, 0.038222333
909, 1.692520333,0.038318
910,1.692431667, 0.038414
911,1.692343333, 0.038509667
912,1.692255667,0.038605667
913,1.692168667,0.038701333
914,1.692081333,0.038797667
915,1.691995,0.038893667
916, 1.691908667,0.038989667
917,1.691823,0.039085667
918, 1.691737333,0.039182333
919,1.691652333,0.039278333
920,1.691568,0.039375
921, 1.691483333, 0.039471667
922,1.691399333,0.039568
923,1.691316, 0.039664333
924, 1.691233,0.039761333
925, 1.691150333,0.039857667
926,1.691067667,0.039955
927,1.690985667, 0.040051667
928,1.690904333,0.040148667
929,1.690822667,0.040245667
930,1.690742,0.040343
931, 1.690661333, 0.04044
932,1.690581,0.040537
933, 1.690501, 0.040634333
934, 1.690421667,0.040731667
935,1.690342667,0.040828667
936,1.690263333,0.040926333
937,1.690185333,0.041023667
938,1.690107,0.041121333
939, 1.690029333,0.041219
940,1.689952, 0.041316667
941, 1.689875,0.041414333
942, 1.689798667,0.041512333
943,1.689722,0.04161
944, 1.689646333,0.041708
945,1.689570667, 0.041806
946,1.689495667, 0.041903667
947,1.689420667,0.042002
948,1.689345667, 0.0421
949,1.689271667, 0.042198333
950,1.689198333,0.042296333
951,1.689124667,0.042394667
952,1.689051333,0.042493333
953,1.688978333,0.042591667
954,1.688906,0.04269
955, 1.688833667,0.042788667
956,1.688762,0.042887
957, 1.688690667, 0.042985667
958,1.688619667,0.043084667
959,1.688548667,0.043183333
960,1.688478333,0.043282333
961,1.688408,0.043381
962, 1.688338333, 0.04348
963,1.688269,0.043579
964, 1.6882, 0.043678
965, 1.688130667, 0.043777333
966,1.688062333,0.043876
967,1.687994667, 0.043975333
968,1.687926667,0.044074333
969,1.687859333,0.044173667
970,1.687791667,0.044273333
971,1.687725333,0.044372667
972,1.687658667,0.044471667
973,1.687592333,0.044571
974,1.687526333, 0.044671
975,1.687461, 0.044770333
976, 1.687395667,0.04487
977,1.687331,0.04497
978, 1.687266333,0.045069333
979,1.687202,0.045169
980, 1.687138, 0.045269
981, 1.687074667, 0.045369
982,1.687011, 0.045468667
983, 1.686948333,0.045568667
984,1.686886,0.045668667
985, 1.686823667,0.045768667
986,1.686761333,0.045869
987,1.686699667, 0.045969333
988,1.686638,0.046069
989, 1.686577, 0.046169667
990, 1.686516333,0.046269667
991,1.686455667,0.046369667
992,1.686395667,0.046470333
993,1.686335667,0.046571
994,1.686276333, 0.046671
995,1.686216667, 0.046771667
996,1.686157667,0.046872333
997,1.686099333,0.046972667
998,1.686040667,0.047073333
999,1.685983,0.047174333
